epoch,categorical_accuracy,iou,loss,lr,precision,recall,val_categorical_accuracy,val_iou,val_loss,val_precision,val_recall
0,0.9317448139190674,0.4391622841358185,0.059519607573747635,0.0004995247,0.6229898929595947,0.7338259220123291,0.9651231169700623,0.5678056478500366,0.021304596215486526,0.9019486308097839,0.6930397748947144
1,0.9622081518173218,0.622441291809082,0.02556312084197998,0.0005,0.8368428945541382,0.7718137502670288,0.9756363034248352,0.6908777356147766,0.01634160988032818,0.875230610370636,0.8547961711883545
2,0.9670637845993042,0.6613921523094177,0.021700400859117508,0.0005,0.8557134866714478,0.8003041744232178,0.9779028296470642,0.7228633761405945,0.01505343522876501,0.887965977191925,0.8671959042549133
3,0.9697919487953186,0.682318389415741,0.020205941051244736,0.0005,0.8687784671783447,0.817842423915863,0.9709092378616333,0.6993158459663391,0.018506553024053574,0.8154059052467346,0.8804439306259155
4,0.9701281189918518,0.6892839670181274,0.019966932013630867,0.0005,0.8684972524642944,0.8133774995803833,0.9732417464256287,0.710696280002594,0.018250560387969017,0.9394204020500183,0.7554057836532593
5,0.9687525033950806,0.6799836158752441,0.02077617682516575,0.0005,0.8688161373138428,0.8207694292068481,0.9783459901809692,0.7293990254402161,0.014331014826893806,0.8569815158843994,0.9154139161109924
6,0.9708399176597595,0.6932348608970642,0.01970933936536312,0.0005,0.8725860118865967,0.8213497400283813,0.9782507419586182,0.7324308156967163,0.014168232679367065,0.8817426562309265,0.8795619606971741
7,0.9715899229049683,0.7011519074440002,0.018780235201120377,0.0005,0.8784499764442444,0.8300947546958923,0.9796584844589233,0.7671335339546204,0.013333541341125965,0.9085458517074585,0.8640005588531494
8,0.9737513065338135,0.7130777835845947,0.01742761768400669,0.0005,0.88706374168396,0.8389018177986145,0.9796554446220398,0.7568753957748413,0.013168306089937687,0.9091337323188782,0.8632774949073792
9,0.9742339253425598,0.7233760952949524,0.017162015661597252,0.0005,0.8890439867973328,0.8434213399887085,0.9796396493911743,0.7500508427619934,0.013633260503411293,0.8898864984512329,0.8865202069282532
10,0.9753251075744629,0.726921796798706,0.01641681417822838,0.0005,0.8915572762489319,0.8497825264930725,0.9775806665420532,0.730216920375824,0.014905218034982681,0.8458560705184937,0.9223340749740601
11,0.974747896194458,0.7296305298805237,0.016708780080080032,0.0005,0.8910540342330933,0.8447981476783752,0.979024350643158,0.762170135974884,0.013470434583723545,0.8663901686668396,0.9104844927787781
12,0.9767311215400696,0.7341535091400146,0.015542445704340935,0.0005,0.8977594971656799,0.8525382876396179,0.9777548313140869,0.7734148502349854,0.01397162489593029,0.8552775382995605,0.9101701974868774
13,0.975432276725769,0.738013505935669,0.016238808631896973,0.0005,0.8954322338104248,0.8542749285697937,0.9789568185806274,0.7686295509338379,0.013463310897350311,0.846882700920105,0.9391353130340576
14,0.9754818677902222,0.739668071269989,0.0161306019872427,0.0005,0.8986436128616333,0.8579106330871582,0.9782701730728149,0.7191623449325562,0.01539576705545187,0.8814292550086975,0.880219578742981
15,0.9772933721542358,0.7525314092636108,0.014949626289308071,0.0005,0.9024631381034851,0.8630821108818054,0.9800114035606384,0.7704837918281555,0.01299399882555008,0.9270959496498108,0.8475474119186401
16,0.977994978427887,0.7558314800262451,0.014667768031358719,0.0005,0.908412516117096,0.8681064248085022,0.9786815047264099,0.7745755910873413,0.013224677182734013,0.8564941883087158,0.920559823513031
17,0.9785094261169434,0.7571651339530945,0.014099950902163982,0.0005,0.9069176912307739,0.8693448305130005,0.976139485836029,0.7675143480300903,0.015022543258965015,0.9477553367614746,0.7815377116203308
18,0.9783222079277039,0.7607179880142212,0.014299844391644001,0.0005,0.9090612530708313,0.8730261325836182,0.9824608564376831,0.8007345795631409,0.011535793542861938,0.9017190933227539,0.9065520167350769
19,0.9787919521331787,0.766069233417511,0.014029793441295624,0.0005,0.9122618436813354,0.8751987814903259,0.9812330007553101,0.7779814600944519,0.012152675539255142,0.872414767742157,0.9303402304649353
20,0.9793660640716553,0.7691258192062378,0.013547920621931553,0.0005,0.9091079235076904,0.8704421520233154,0.982738733291626,0.796691358089447,0.01131681352853775,0.9112667441368103,0.8982601761817932
21,0.9795135259628296,0.7723243236541748,0.013394462876021862,0.0005,0.9105788469314575,0.8731651902198792,0.9805246591567993,0.7812799215316772,0.013068626634776592,0.929080605506897,0.8515221476554871
22,0.9793247580528259,0.7657976746559143,0.013433814980089664,0.0005,0.9120544195175171,0.8769903182983398,0.9823481440544128,0.7886567115783691,0.011583959683775902,0.9099297523498535,0.8951126337051392
23,0.9801240563392639,0.7742055058479309,0.012954414822161198,0.0005,0.9124124646186829,0.8772892355918884,0.9803889393806458,0.790252685546875,0.012706143781542778,0.8815662860870361,0.9068691730499268
24,0.9807514548301697,0.7829869389533997,0.012561438605189323,0.0005,0.9162335395812988,0.8808789253234863,0.9829277992248535,0.8049547076225281,0.011207896284759045,0.899282693862915,0.9153865575790405
25,0.9804791808128357,0.7829330563545227,0.01260558795183897,0.0005,0.9132542014122009,0.8786103129386902,0.9808241128921509,0.7843201756477356,0.012125425972044468,0.9437803030014038,0.8398339152336121
26,0.9808133244514465,0.7784046530723572,0.012525415979325771,0.0005,0.9182493090629578,0.8816642761230469,0.982830286026001,0.7924267053604126,0.011175928637385368,0.8995280861854553,0.9138681292533875
27,0.981009304523468,0.787073016166687,0.012250369414687157,0.0005,0.9198876023292542,0.8849806785583496,0.982179582118988,0.7858911156654358,0.011498698964715004,0.9443920254707336,0.8550065755844116
28,0.9808552265167236,0.7810791730880737,0.012541301548480988,0.0005,0.9180281162261963,0.8818750381469727,0.9781554937362671,0.7776883840560913,0.013746083714067936,0.8925187587738037,0.8646849989891052
29,0.9813051223754883,0.7829862236976624,0.012181820347905159,0.0005,0.9200263023376465,0.8877503871917725,0.9799601435661316,0.7819384932518005,0.013361789286136627,0.9333258867263794,0.8403686881065369
30,0.9808771014213562,0.7763100862503052,0.012399554252624512,0.0005,0.9185884594917297,0.8820750117301941,0.9808900952339172,0.777281641960144,0.01233725342899561,0.9345232248306274,0.8500900268554688
31,0.9815570116043091,0.7956690788269043,0.011900358833372593,0.0005,0.9221013784408569,0.8895931243896484,0.9816150665283203,0.785194993019104,0.011964013800024986,0.8833309412002563,0.9199888110160828
32,0.9821413159370422,0.7946051955223083,0.011526097543537617,0.0005,0.9234830141067505,0.8905424475669861,0.9792091250419617,0.7821489572525024,0.013212096877396107,0.9572405219078064,0.8082043528556824
33,0.9825746417045593,0.791973888874054,0.011262486688792706,0.0005,0.9241144061088562,0.8906830549240112,0.9823998212814331,0.7906959056854248,0.011474265716969967,0.8798113465309143,0.9347774386405945
34,0.9815685749053955,0.7887071967124939,0.011718702502548695,0.0005,0.9194983243942261,0.8872678875923157,0.9816813468933105,0.7890093326568604,0.012083744630217552,0.8775147795677185,0.9288545250892639
35,0.9844397902488708,0.8127648830413818,0.010072173550724983,5.0000002e-05,0.9345987439155579,0.9020835757255554,0.9838283061981201,0.8070200085639954,0.010731051675975323,0.9074406623840332,0.9161852598190308
36,0.9840468168258667,0.8110661506652832,0.010246966034173965,5.0000002e-05,0.9363886117935181,0.9087134003639221,0.9832583069801331,0.807574450969696,0.011289678514003754,0.9022577404975891,0.9156830906867981
37,0.9848685264587402,0.8162089586257935,0.009689022786915302,5.0000002e-05,0.9363963603973389,0.9087103605270386,0.982941746711731,0.8113550543785095,0.011187526397407055,0.9169273376464844,0.8940144777297974
38,0.9848307967185974,0.814250648021698,0.0097277807071805,5.0000002e-05,0.9369038939476013,0.9095224738121033,0.983626127243042,0.8100984692573547,0.011018400080502033,0.9193863272666931,0.8993775844573975
39,0.9846924543380737,0.8135072588920593,0.00974940974265337,5.0000002e-05,0.9375223517417908,0.9112439155578613,0.9828522205352783,0.8078935742378235,0.011603442952036858,0.9041017889976501,0.9083893299102783
40,0.984872043132782,0.8113070726394653,0.009676659479737282,5.0000002e-05,0.9355908036231995,0.9089464545249939,0.9832512140274048,0.8083272576332092,0.01122196950018406,0.913994312286377,0.9012141227722168
41,0.9846094250679016,0.8093838691711426,0.009763441048562527,5.0000002e-05,0.9345989227294922,0.9051693677902222,0.9833820462226868,0.8095105886459351,0.011055177077651024,0.9203633666038513,0.8953141570091248
42,0.9851536154747009,0.8198056817054749,0.00947976391762495,5.0000002e-05,0.9387282133102417,0.9124351739883423,0.9835041165351868,0.8126493692398071,0.01120834145694971,0.9066333770751953,0.9132280349731445
